2026-02-27 03:26:47.759692,hello,General Inquiry,Neutral,Normal
2026-02-27 03:30:32.882602,Translate the text,General Inquiry,Neutral,Normal
2026-02-27 03:32:13.051999,What frames do you have?,General Inquiry,Neutral,Normal
2026-02-27 03:33:00.894380,When will my order 1026 arrive?,Order Tracking,Neutral,Normal
2026-02-27 04:08:58.662290,hello,General Inquiry,Neutral,Normal
2026-02-27 04:09:22.001318,stop,General Inquiry,Neutral,Normal
2026-02-27 04:10:36.234875,suggest specs for me,General Inquiry,Neutral,Normal
2026-02-27 04:13:20.564075,SUGGEST ROUND sPECS fOR ME AVAILABLE ON THE WEBSITE,General Inquiry,Positive,Normal
2026-02-27 04:16:53.127017,Mera order abhi tak Aaya Kyon Nahin Hai,Order Tracking,Neutral,Normal
2026-02-27 04:20:57.698038,hello pagal hai tu,General Inquiry,Neutral,Normal
2026-02-27 04:27:01.897574,hi,General Inquiry,Neutral,Normal
2026-02-27 05:26:47.577617,hii,General Inquiry,Neutral,Normal
2026-02-27 05:28:10.041115,hello hello,General Inquiry,Neutral,Normal
2026-02-27 05:28:26.958143,hello,General Inquiry,Neutral,Normal
2026-02-27 05:50:57.834997,hii,General Inquiry,Neutral,Normal
2026-02-27 05:52:03.686722,hello could you help me please an order,Order Tracking,Neutral,Normal
2026-02-27 05:53:17.784970,how to place an order,Order Tracking,Neutral,Normal
2026-02-27 06:24:31.411176,hi,General Inquiry,Neutral,Normal
2026-02-27 06:24:51.915674,kya mujhe mere order ke baare m paat chal sakta hai ?,Order Tracking,Angry,Normal
2026-02-27 06:25:04.632786,6003,General Inquiry,Neutral,Normal
2026-02-27 06:25:24.742541,cant you talk in hindi?,General Inquiry,Neutral,Normal
2026-02-27 06:25:56.914335,toh abhi mujhe hindi m bataye ki mera order mujhe kab tak milenga,Order Tracking,Neutral,Normal
2026-02-27 06:26:06.915813,hindi m puche,General Inquiry,Neutral,Normal
2026-02-27 06:26:18.918164,mera order kab tak milenga mujhe ?,Order Tracking,Neutral,Normal
2026-02-27 06:26:41.756269,Mujhe Mera order kab tak milega,Order Tracking,Neutral,Normal
2026-02-27 06:27:14.372336,hello aap Hindi mein baat kar sakte hain kya,General Inquiry,Neutral,Normal
2026-02-27 06:28:47.117204,hi hello how are you,General Inquiry,Neutral,Normal
2026-02-27 06:29:31.968260,karna padega,General Inquiry,Neutral,Normal
2026-02-27 06:29:35.062252,Mujhe yah Janna tha ki mera order kahan tak pahuncha,Order Tracking,Neutral,Normal
2026-02-27 06:29:54.697875,223,General Inquiry,Neutral,Normal
2026-02-27 06:31:45.431291,hi hello aap kaise ho,General Inquiry,Neutral,Normal
2026-02-27 06:32:10.663000,Mujhe Janna tha ki mera order kahan tak pahuncha,Order Tracking,Neutral,Normal
2026-02-27 06:32:35.924407,kya tum mujhe Hindi Mein Nahin poochh Sakte Sawal,General Inquiry,Neutral,Normal
2026-02-27 06:33:12.992205,main yah kah rahi thi ki mera order kahan tak pahuncha Mujhe jaldi batao Meri order ID 223 hai aur mujhe bahut jaldi Janna Hai Kyunki mujhe bahut Khai hai,Order Tracking,Positive,Normal
2026-02-27 06:33:36.425070,Meri order id 6004 hai to mujhe batao ki mera order kahan tak pahuncha,Order Tracking,Neutral,Normal
2026-02-27 06:34:19.029449,huuuuuu,General Inquiry,Neutral,Normal
2026-02-27 07:54:21.605701,Hey how are you?,General Inquiry,Neutral,Normal
2026-02-27 07:54:35.667942,how can you help me?,General Inquiry,Neutral,Normal
2026-02-27 07:55:18.556875,hey hi how are you,General Inquiry,Neutral,Normal
2026-02-27 08:49:50.677020,hey hello how are you,General Inquiry,Neutral,Normal
2026-02-27 08:51:06.018019,I just wanted to know about my order delivery date,Order Tracking,Neutral,Normal
2026-02-27 08:53:27.045329,when will my order get delivered,Order Tracking,Neutral,Normal
2026-02-27 08:53:56.901910,Best sellers 🔥,General Inquiry,Positive,Normal
2026-02-27 08:54:09.184900,Offers & deals 🏷️,General Inquiry,Positive,Normal
2026-02-27 08:54:16.522774,Blue light lenses 💻,General Inquiry,Positive,Normal
2026-02-27 08:55:11.248749,hey how are you I just wanted to know that when will my order get delivered because I'm really excited to that sunglasses,Order Tracking,Positive,Normal
2026-02-27 08:56:06.104845,main yah kah rahi thi bhai ki Apna order kab delivery hoga,Order Tracking,Positive,Normal
2026-02-27 08:57:12.687321,Tu Tujhe kya lagta hai ki mujhe per kaun si frame suit Ho,General Inquiry,Neutral,Normal
2026-02-27 09:14:11.450929,hello bhai Tu Jinda Hai Ki Mar Gaya,General Inquiry,Neutral,Normal
2026-02-27 09:14:42.656217,Mere Ko Bata Mera order kab tak a raha hai ghar per,Order Tracking,Angry,Normal
2026-02-27 09:15:13.141314,bhai Tu best Hai thank u so Mach Tu kam kar Gaya,General Inquiry,Positive,Normal
2026-02-27 09:15:35.543898,Hare,General Inquiry,Neutral,Normal
2026-02-27 09:17:43.858948,han bhai kya hal Chaal,General Inquiry,Neutral,Normal
